Test number;all-MiniLM-L6-v2;all-mpnet-base-v2;paraphrase-multilingual-MiniLM-L12-v2;paraphrase-multilingual-mpnet-base-v2;LaBSE;all-MiniLM-L12-v2;distiluse-base-multilingual-cased-v2;multi-qa-mpnet-base-dot-v1;clip-ViT-B-32-multilingual-v1;multi-qa-MiniLM-L6-cos-v1;paraphrase-MiniLM-L6-v2;distiluse-base-multilingual-cased-v1;static-similarity-mrl-multilingual-v1;
1;0,2599635720252991;0,382051557302475;0,3391343951225281;0,35168391466140747;0,13153183460235596;0,307634174823761;0,1979464292526245;0,4787715673446655;0,8522287011146545;0,23663929104804993;0,27942484617233276;0,11726061999797821;0,05358220636844635;
2;0,8325851559638977;0,8418978452682495;0,7572381496429443;0,7208985090255737;0,761987030506134;0,7365905046463013;0,6831470727920532;0,835079550743103;0,9111578464508057;0,7382985353469849;0,9656825065612793;0,7038474082946777;0,46931010484695435;
3;0,3683190643787384;0,638701856136322;0,585354745388031;0,5573689341545105;0,4555234909057617;0,6375870704650879;0,30764269828796387;0,6011980772018433;0,9547342658042908;0,5783636569976807;0,8221099376678467;0,4128611087799072;0,31570619344711304;
4;-0,09577798843383789;0,09535194933414459;0,0840444415807724;0,13759151101112366;0,2891159951686859;0,06957168132066727;0,0004410743713378906;0,2951207756996155;0,8900496363639832;0,12045750766992569;0,2875126600265503;-0,0482991561293602;0,0;
5;0,5245072841644287;0,6745047569274902;0,4010779559612274;0,49271097779273987;0,6089679002761841;0,43972665071487427;0,6951868534088135;0,4839945435523987;0,9235820770263672;0,342178612947464;0,6479747891426086;0,6954521536827087;0,2791384756565094;
6;0,4975164234638214;0,6511804461479187;0,27817267179489136;0,5607750415802002;0,41771605610847473;0,5611715316772461;0,17484605312347412;0,6034945249557495;0,9327653050422668;0,671127438545227;0,8561279773712158;0,16462673246860504;0,23297005891799927;
7;0,7454632520675659;0,849321186542511;0,726872980594635;0,7802449464797974;0,7524440884590149;0,7755094766616821;0,6394277811050415;0,8615321516990662;0,9796898365020752;0,7484143376350403;0,9485189914703369;0,6273950338363647;0,49410873651504517;
8;0,6480556726455688;0,7202551364898682;0,5807979702949524;0,5932608842849731;0,5744354724884033;0,5223256945610046;0,5348085761070251;0,6137398481369019;0,9313849210739136;0,6605437994003296;0,6414454579353333;0,5997994542121887;0,5754973292350769;
9;0,7679685354232788;0,7511757612228394;0,5443342924118042;0,7020018100738525;0,6270224452018738;0,7419310808181763;0,7086969614028931;0,8059157133102417;0,9424939155578613;0,6443346738815308;0,9096057415008545;0,6762641668319702;0,335401326417923;
10;0,5594966411590576;0,5368678569793701;0,7181833982467651;0,5824830532073975;0,5967587232589722;0,443644642829895;0,29488271474838257;0,6301766633987427;0,8805150985717773;0,46407777070999146;0,83724045753479;0,2562713623046875;0,2862936556339264;
11;0,7303135395050049;0,832877516746521;0,754905104637146;0,6678781509399414;0,6223518252372742;0,682931661605835;0,6537263989448547;0,7368685007095337;0,9761998653411865;0,7123692035675049;0,9143127202987671;0,6344479322433472;0,2633380889892578;
12;0,6611133813858032;0,6730650067329407;0,7904226779937744;0,8733761310577393;0,595181941986084;0,5610753297805786;0,5008440017700195;0,6552073955535889;0,9655798673629761;0,6768604516983032;0,8856192827224731;0,5233864784240723;0,3324151635169983;
13;0,3667195737361908;0,39218637347221375;0,4530019164085388;0,5026458501815796;0,39035916328430176;0,39910024404525757;0,23708485066890717;0,4562269151210785;0,9571278691291809;0,40376245975494385;0,5052563548088074;0,3197723627090454;0,18005219101905823;
