Test number;all-MiniLM-L6-v2;all-mpnet-base-v2;paraphrase-multilingual-MiniLM-L12-v2;paraphrase-multilingual-mpnet-base-v2;LaBSE;all-MiniLM-L12-v2;distiluse-base-multilingual-cased-v2;multi-qa-mpnet-base-dot-v1;clip-ViT-B-32-multilingual-v1;multi-qa-MiniLM-L6-cos-v1;paraphrase-MiniLM-L6-v2;distiluse-base-multilingual-cased-v1;static-similarity-mrl-multilingual-v1;
1;0,7953212261199951;0,7170950174331665;0,7949973344802856;0,8428894281387329;0,5716217756271362;0,7574576735496521;0,6672489643096924;0,7182166576385498;0,925056517124176;0,8048418164253235;0,8486588001251221;0,6453607678413391;0,7422020435333252;
2;0,9786913394927979;0,9001704454421997;0,9274000525474548;0,9727976322174072;0,9664555788040161;0,9430350661277771;0,9873345494270325;0,9312470555305481;0,9911364316940308;0,974400520324707;0,9880765080451965;0,9833775758743286;0,9921072721481323;
3;0,5785635113716125;0,8096539974212646;0,8119393587112427;0,9014025926589966;0,807390570640564;0,9436137676239014;0,6737266778945923;0,8954053521156311;0,9784570336341858;0,8509889245033264;0,969875693321228;0,7688381671905518;0,6567656397819519;
4;0,897178590297699;0,8501399159431458;0,7559770345687866;0,7999573945999146;0,7380325794219971;0,5066106915473938;0,6987204551696777;0,9030662775039673;0,9766498804092407;0,8775418996810913;0,9100611805915833;0,6624187231063843;0,731849193572998;
5;0,7898883819580078;0,9476443529129028;0,9884293079376221;0,9841295480728149;0,7629657983779907;0,8452605605125427;0,9108208417892456;0,9362099170684814;0,9786468744277954;0,8356914520263672;0,8913021683692932;0,9509812593460083;0,4736151695251465;
6;0,696722149848938;0,854150652885437;0,8683888912200928;0,8831339478492737;0,839661717414856;0,8366016149520874;0,7073909044265747;0,8843622207641602;0,9746047854423523;0,8740414381027222;0,9627687931060791;0,7325618267059326;0,5604440569877625;
7;0,5857589244842529;0,6598048806190491;0,6189135313034058;0,6707173585891724;0,6467025279998779;0,5869863629341125;0,5491855144500732;0,7719371318817139;0,9536426067352295;0,5782223343849182;0,9130436778068542;0,5106559991836548;0,30417007207870483;
8;0,7735434770584106;0,7862176299095154;0,8681268095970154;0,8816079497337341;0,7291922569274902;0,7390787601470947;0,6923379898071289;0,791959285736084;0,9443380236625671;0,7370795607566833;0,8053998947143555;0,7492389678955078;0,6185710430145264;
9;0,8722108602523804;0,8960055708885193;0,8811964392662048;0,9179174900054932;0,8845673203468323;0,8822640180587769;0,8880140781402588;0,9233373403549194;0,9729568362236023;0,888508677482605;0,9665298461914062;0,8851103782653809;0,5936794281005859;
10;0,9054133892059326;0,8693565130233765;0,9327609539031982;0,8541239500045776;0,7319297790527344;0,8720145225524902;0,7374826669692993;0,8228984475135803;0,9688262939453125;0,9205002784729004;0,9232889413833618;0,6832234859466553;0,7355183362960815;
11;0,8113973140716553;0,8424546718597412;0,6558366417884827;0,6321102380752563;0,6341953277587891;0,834026038646698;0,5246937274932861;0,7786155939102173;0,977327823638916;0,7763794660568237;0,9109755158424377;0,5394740700721741;0,293394535779953;
12;0,7115992307662964;0,7313754558563232;0,7326667904853821;0,8628662824630737;0,71131432056427;0,7438362836837769;0,550146222114563;0,7306943535804749;0,9735864996910095;0,6688662767410278;0,8851727247238159;0,5404479503631592;0,5879285335540771;
13;0,6666788458824158;0,6918749809265137;0,743869423866272;0,746152400970459;0,6467002630233765;0,7762804627418518;0,602942168712616;0,7314649820327759;0,9677608609199524;0,708391547203064;0,8382757902145386;0,6779007911682129;0,5686867237091064;
